replication,success,nll,iterations,mu,omega,alpha,beta,persistence
1,True,2309.38202441791,11,0.039699850994147724,0.050583700162450555,0.1136472190876229,0.8551649035592445,0.9688121226468673
2,True,2228.1727757885847,10,0.06280775107029797,0.06670072754576178,0.059106996732960486,0.8844631349272394,0.9435701316601999
3,True,2175.546358652967,13,-0.028458006595049917,0.047782931240834485,0.130188018474085,0.836903488284574,0.967091506758659
4,True,2232.2588372274367,14,-0.011567230628599729,0.1332582940242322,0.0534378375794174,0.8322783806068943,0.8857162181863117
5,True,2240.6313680456683,11,0.0005254445490520495,0.04122418033539633,0.06716777138184418,0.8992303642817755,0.9663981356636197
6,True,2296.6763484237554,11,0.05699033772407701,0.06823990797718696,0.12179160971965264,0.8290358846807873,0.9508274944004399
7,True,2196.2276731365137,11,0.029047551730426745,0.04019526613902234,0.07400241372594207,0.8924861483659118,0.9664885620918539
8,True,2225.9762568779797,9,0.05785377297057031,0.04868627321769298,0.09497179481165571,0.8662308411021581,0.9612026359138138
9,True,2207.6805100484053,12,0.053756020774837016,0.0695551139853916,0.069697563736504,0.870073843409824,0.939771407146328
10,True,2184.571092105048,13,0.0169454224024082,0.12597773623526717,0.07462655591580922,0.8107493255839042,0.8853758814997135
11,True,2431.7241047639272,11,0.0022552256275545535,0.04300054359886566,0.08724719330106322,0.8881602169671687,0.975407410268232
12,True,2260.189151672872,11,0.017637587189707316,0.07293846024249129,0.0759314279976156,0.8655838805373713,0.941515308534987
