horizon,variance_forecast,volatility_forecast
1,1.7354031827429182,1.3173470244179846
2,1.717875937100088,1.3106776633101245
3,1.7009760279390527,1.3042147169615335
4,1.6846810015857205,1.2979526191605457
5,1.6689692080295755,1.2918859113828804
6,1.6538197721588908,1.2860092426413159
7,1.639212566025494,1.2803173692586904
8,1.625128182102233,1.2748051545637211
9,1.6115479074976131,1.2694675685095753
10,1.598453699093347,1.2642996872155536
11,1.5858281595717796,1.259296692432637
12,1.5736545143013474,1.2544538709340203
13,1.5619165890493478,1.2497666138320978
14,1.550598788492421,1.2452304158236824
15,1.5396860754961827,1.2408408743655177
16,1.529163951136482,1.2365936887824076
17,1.5190184354357423,1.2324846593105094
18,1.509236048788785,1.2285096860785367
19,1.499803794053465,1.2246647680297924
20,1.4907091392823166,1.2209460017880875
